작성자,제품명,리뷰작성일,별점,한달 사용기,리뷰 내용,도움 수
ps****,ETAG: 차콜 그레이,20250420,5,,여러제품을 직접 시연해본건 아니지만 지인의 릴하이브리드 잠시 사용해보고 아쉬움이 있구나 싶어 다시 찾던중 본품을 신중히 고민하고 구입했네요. 물품도착 안했으나 테리아 센티아 두제품을 미리구입하여 기다렸죠. 제품받고 시연결과 어. 타격감이 제겐 맞더군요. 혹시나 싶어 얼마간 기간을 두고 약간의 하자가 있었지만 교환.환불 포기하고 사용하려던차 판매자님의 신속한 교환처리 해주셨네요. 개인차는 있겠지만 타격감 제겐 확실히 세게 느껴지거든요.(연초에 가깝다는거죠. 참고로 멘솔류 좋아하기에) 지인이 사용하는 릴종류를 고민했으나 본품이 전 맞는것 같아요. 액상별도 구입 번거롭고 피운건지 느낌도 없고 근데 이제품은 만족합니다. 테리아 센티아 두제품 인덕션방식으로 사용할수 있기에. 암튼 판매자분 번거롭게 해드릴생각은 없었으나 직업병때문에 어쩔수 없더군요. 회사업무상 하자원인분석등도 하는일이다보니 짚고 넘어가질 못해서요. 잘사용할께요. 수고하세요~ (아! 청소는 혹시 연초류나 멘솔류 한가지가 아닌 겸용으로 하실경우 생각날때 한번 내부 면봉으로 살짝 닦아주심 맛이 좋을거예요. 그냥 개인적으로 갈아탈때 닦으니 괜찮더라구요.),1
eo****,ETAG: 차콜 그레이,20250423,5,,"배송 안전하고 빠릅니다. 우체국 소포로 다음날에 오네요. 한동안 찐담배 안폈는데.. 요즘은 청소가 필요없는 방식이라니 신세계네요. 거기다 배터리 용량도 커서 자주 충전 안해도 되고 진짜 와 굿입니다. 음... 온도를 높여서 해보긴 했는데, 역시 연초 만큼의 타격감과 연무량은 아닌것 같네요. 그리고 배터리 충전량이 많을때 좀 더 강한 느낌이구요. 테리아 엠버와 블루로 테스트해 봤는데, 예전 아이코스 보다는 나은 것 같네요. 다음에는 스틱을 좀 더 강한걸로 찾아봐야겠어요.",0
elma******,ETAG: 알바 블루,20250417,5,,연초에 만 피다가 전자 담배로 넘어 왔는데 아무래도 연초보다는 못하겠죠 테리아 엠버랑 센티아 골드를 사용해봤는데 테리아가 연무량이나 맛에선 센티아 보다는 나은거 같습니다 센티아는 연무량이 좀 약하고 좀더 순한 느낌이랄까 연초랑 비교할까요! 배송 아주 좋습니다 배송과정 메세지가 중간중간오니까 아주 좋았습니다 쿠팡 못지않아요 제품박스 퀄리티 아주 좋습니다 자석으로 열고 닫기 아 버리기 아까워 보관중입니다 상품은 알바 블루인데 이것도 좋습니다 재질감이나 크기 손에 잡기 크기 딱 좋습니다 설정이 첨엔 햇갈렸는데 금방 적응됩니다 아직 사람마다 달라서 온도나 시간 조절을 이리저리 시험중이고 삽입구도 위로 가 아니라 옆으로 밀면 딱하고 열고 닫고 할수있어 고급스럽습니다 모드 조절이 있어서 좋습니다 프리모드에서만 온도나 시간 나머지 부분설정 가능 하고 배터리는 아주 오래 갑니다 고속도 되지만 저속이 배터리 수명에 도움이 된다해서 전 저속으로 해도 충전 시간 빠릅니다 물론 완전 방전은 배터리에 좋지 않기때문에 한칸 남았을때 설명서에 10w입력으로 있어서 그이하로 충전합니다 마지막에30초 남았을때나 가열 시작 끝났을때 진동신호도 편리성중에 하납니다 화면 볼필요도 없습니다 퀄리티 아주 좋습니다 딱히 깔께 없습니다 딱하나 있다면 전용 어댑터가 포함되지 않았다는거 요즘 저속 어댑터가 잘 없어서 물론 쿠팡엔 몇게 있지만요 그것빼곤 저 입장엔 배송부터 제품까지 아주 만족스럽습니다 끝으로 1년 반이나 금연하다 실패한게 아쉽지만 딱한번만 해볼까 하다가 다시금 실패했네요 물론 연초만 하겠습니까 만은 AS만 좋다면 이 제품 추천 드립니다,0
seph****,ETAG: 알바 블루,20250406,5,,"이 리뷰를 보시는 분들께 조금이라도 도움이 되었으면 해서 글 남깁니다. 솔직히 제가 뽑기 운이 없었던 건지, 처음 구매한 뒤 두 번 연속으로 문제가 생겼습니다. 1. 첫 제품: 전원 버튼이 간헐적으로 반응하지 않았고, 프리모드(340도)로 사용했을 때 연무량이 생각보다 적었어요. 또 담배를 꽂아둔 상태에서 전원 버튼을 눌러도 가열되지 않는 경우가 있었습니다. 2. 교환 제품: 300도 3분30초 셋팅 후 사용했는데도 배터리가 1개비 피울 때마다 1칸씩 줄었고, 20개비 정도 피웠을 때 이미 절반 이상 소모됐습니다. 그리고 진동이 울릴 때 담배 꽂는 부분에서 마찰음 같은 소리가 나더라고요. 현재 사용 중인 3번째 교환 제품은 문제 없이 잘 작동하고 있어서 다행이라고 생각합니다. 사실 처음에는 두 번이나 문제가 생겨서 스트레스를 많이 받았지만, 고객센터와 검수팀의 응대가 빨라서 그런 부분은 괜찮았어요. 이태그 자체는 디자인도 깔끔하고 작아서 휴대하기 편하고, 배터리 용량도 넉넉한 편이라 만족하며 사용 중입니다. 이 리뷰가 구매 고민 중이신 분들께 조금이라도 참고가 되길 바랍니다!",0
luck*****,ETAG: 차콜 그레이,20250509,3,,배송 빠르고 상품 포장상태 훌륭하고 기기도 고급지고좋음 일반담배서 처음 전자담배로 넘어오며 기대가 너무 컸었는지 다른건 안써봐서 비교를 못하겠구 일반담배랑 비교하면 몸에서 담배냄새가 안나서 좋음 특히 손에서 냄새 안나서 좋음 하지만 연기가 약함 전자담배의 한계가 있는듯 함 한달정도 쓰며 적응해보고 결정 해야할듯함,0
pete********,ETAG: 오닉스 블랙,20250504,4,,"이태그 한달 간 쓰면서 너무 만족스럽고, 센티아 스틱과도 호환되면서 잘 쓰고 있습니다. 가끔 배터리가 60~70% 이하 정도로 완충기준 하루 반나절 지나면 스틱 맛이 미묘하게 달라지네요. 약간 끈적하게 빨리는 감이 있어서 되도록 완충해서 피는 편이에요. 그래도 온도 조정, 멘솔/타바코 모드 등 다양하게 맛볼 수 있어서 좋은 것 같습니다. 감사합니다~",0
sky0*****,ETAG: 오닉스 블랙,20250506,5,,뜸 냄새가 적게나서 너무 좋네요! 냄새 때문에 맨날 와이프한테 눈치 받았는데 확실히 냄새가 덜하니까 싸울일이 없어져서 너무 좋아요! 최고입니다ㅎ,0
hv****,ETAG: 쉬폰 화이트,20250508,5,,배송은 신속 제품은 깔끔 좋네요 아직 사용 많이 안해봤지만 느낌이 아주 좋습니다,0
psoo*****,ETAG: 알바 블루,20250503,5,,너무너무 잘 사용하고 있어요!! 기계치인지라 온도 시간 설정 할수있을까 싶었는데 쉬워서 놀랐어요 :) 재구매의사 있습니닷!!,0
stzz*****,ETAG: 오닉스 블랙,20250508,5,,제품이 좋아요 배송도 좋지만 디자인도 마음에 들고 모드도 제마음대로 가능해서 좋네요 타격감은 아직 잘 모르겠어여 ㅋㅋ,0
